AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,COMMIS,SALES_PRICE
Adyar,987,95,1.0,1.0,3,AdjLand,Yes,House,ELO,Paved,RH,3.8,2.8,3.6,3.5,92007,9200725
Karapakkam,1256,198,1.0,1.0,3,Normal Sale,No,Commercial,NoSeWa,No Access,RH,2.3,4.1,5.0,3.92,93930,9393000
KK Nagar,1824,143,3.0,2.0,5,AbNormal,No,Commercial,NoSewr ,Paved,RL,4.1,3.1,4.0,3.76,257083,15122540
Velachery,1752,70,2.0,1.0,4,Family,No,Others,AllPub,No Access,I,2.6,3.8,3.7,[4.26666667 3.86666667 3.36666667 ... 3.8        4.16666667 3.63333333],119498,8535580
Adyar,796,68,1.0,1.0,2,AdjLand,Yes,Commercial,ELO,No Access,C,2.4,3.9,4.4,3.7,116846,9737150
Chrompet,1031,40,1.0,1.0,3,AdjLand,No,Others,ELO,Paved,RM,2.8,4.7,2.2,3.38,36967,9241670
Chrompet,1114,60,1.0,1.0,3,Family,Yes,House,NoSeWa,Paved,RL,5.0,3.0,4.8,4.14,106571,9688300
Anna Nagar,1567,179,1.0,1.0,4,AdjLand,No,Others,NoSeWa,No Access,RL,4.1,5.0,4.8,4.605,58150,11630020
Adyar,1282,164,2.0,2.0,4,AbNormal,Yes,Others,ELO,Gravel,A,3.6,4.5,2.9,3.43,37206,9301605
Chrompet,957,81,1.0,1.0,3,Family,Yes,Others,NoSewr ,No Access,RH,4.2,5.0,4.4,4.58,41461,8292190
T Nagar,1510,14,1.0,1.0,4,Partial,No,Commercial,AllPub,Paved,RH,3.7,2.6,2.0,2.66,211903,16300260
Karapakkam,1005,150,1.0,1.0,3,Partial,Yes,Others,NoSewr ,Paved,RH,3.2,2.6,4.7,3.62,75254,7525375
Velachery,1824,123,3.0,2.0,5,Normal Sale,No,House,AllPub,No Access,A,2.8,3.7,3.1,3.3,131310,6911070
Chrompet,837,172,1.0,1.0,3,Normal Sale,Yes,Commercial,NoSewr ,No Access,RH,4.5,2.1,4.8,3.63,137328,10563700
Adyar,1103,44,1.0,1.0,3,Family,No,House,NoSeWa,Paved,I,4.7,4.8,2.8,3.77,53858,7693965
Karapakkam,1386,97,2.0,2.0,4,Family,No,Others,NoSeWa,Paved,RL,3.3,4.2,3.8,3.77,168370,8418500
Velachery,1588,80,2.0,1.0,4,Family,Yes,Commercial,AllPub,No Access,A,4.2,4.9,2.1,3.89,80614,11516250
Chrompet,792,59,1.0,1.0,2,Family,No,Commercial,NoSewr ,Paved,RM,4.1,4.3,3.6,4.03,95103,10567050
Chrompet,1241,152,2.0,1.0,4,Partial,Yes,House,NoSeWa,No Access,RL,3.7,3.8,3.4,3.65,125147,8939050
KK Nagar,1571,1,2.0,1.0,4,AdjLand,Yes,Others,NoSeWa,Paved,RM,2.7,4.4,4.7,4.01,139786,11648840
Chrompet,770,132,1.0,1.0,2,Partial,No,Commercial,NoSeWa,No Access,RL,2.9,4.3,2.6,3.37,62186,8883750
Anna Nagar,1707,133,1.0,1.0,4,AbNormal,No,Commercial,NoSewr ,No Access,RH,3.8,3.1,2.1,2.945,173636,17363590
T Nagar,1840,55,2.0,1.0,5,Normal Sale,Yes,House,NoSewr ,Gravel,RM,4.6,2.2,4.6,4.0,260601,14477820
Karapakkam,972,35,1.0,1.0,3,Normal Sale,No,Others,ELO,Gravel,RH,3.6,4.0,3.3,3.6,140795,6399750
Adyar,1000,33,1.0,1.0,3,AbNormal,No,Others,ELO,No Access,RL,2.5,2.6,3.2,2.87,75139,8348770
T Nagar,1888,152,2.0,1.0,5,Family,Yes,House,NoSeWa,Gravel,RL,4.0,4.2,3.8,3.96,110120,13764960
Karapakkam,557,29,1.0,1.0,2,Partial,Yes,Others,AllPub,No Access,A,2.2,3.0,2.2,2.44,67413,3210125
Chrompet,1180,16,1.0,1.0,3,Partial,No,Others,NoSeWa,Gravel,RH,2.4,3.5,4.4,3.44,44449,8889850
Chrompet,1219,124,2.0,1.0,4,Partial,Yes,Others,ELO,No Access,RL,2.4,3.1,2.1,2.59,119412,9951030
Karapakkam,943,145,1.0,1.0,3,Normal Sale,Yes,Commercial,AllPub,Paved,I,4.9,3.9,2.3,3.56,105318,8776500
Chrompet,1133,96,1.0,1.0,3,Family,Yes,House,NoSeWa,Gravel,RH,2.4,5.0,4.9,4.19,37872,9468000
Adyar,1153,178,1.0,1.0,3,AdjLand,Yes,House,NoSeWa,Gravel,A,3.0,3.0,3.1,3.05,25051,8350260
Velachery,1618,30,2.0,1.0,4,AdjLand,Yes,Commercial,AllPub,Gravel,RM,2.6,2.4,3.8,2.87,343440,16354300
Karapakkam,1246,31,1.0,1.0,3,Family,Yes,Commercial,NoSeWa,No Access,A,4.1,2.6,4.3,3.73,183023,7957500
KK Nagar,2389,109,4.0,2.0,6,Family,No,Commercial,NoSeWa,Paved,RM,4.4,4.1,3.7,4.03,202432,18402940
KK Nagar,2227,163,4.0,2.0,6,Normal Sale,No,House,NoSeWa,Paved,RM,3.8,4.9,3.7,4.09,118207,11820720
Anna Nagar,1853,42,2.0,1.0,5,AbNormal,Yes,House,NoSeWa,Gravel,RL,3.5,3.2,2.6,3.065,192659,13761350
Chrompet,926,13,1.0,1.0,3,Partial,No,Commercial,ELO,Gravel,RM,3.5,2.4,4.7,3.42,95519,11939850
T Nagar,1517,191,1.0,1.0,4,AdjLand,No,Others,NoSeWa,No Access,RL,4.1,4.0,2.5,3.355,58563,11712660
KK Nagar,1721,61,2.0,1.0,4,AdjLand,No,House,AllPub,Paved,RH,3.2,4.4,4.2,3.96,193730,9225240
Karapakkam,1231,126,1.0,1.0,3,Normal Sale,No,House,AllPub,Gravel,A,4.6,4.2,4.2,4.32,102798,5711000
Karapakkam,1090,34,1.0,1.0,3,AdjLand,Yes,House,AllPub,No Access,A,2.0,4.4,4.9,3.88,63395,4876500
Velachery,1590,56,2.0,1.0,4,AbNormal,Yes,Commercial,NoSewr ,No Access,RH,2.1,4.2,4.8,3.86,153178,13925230
Karapakkam,1353,183,2.0,2.0,4,AbNormal,Yes,Others,ELO,Paved,I,3.1,2.5,3.0,2.88,172670,7507375
Anna Nagar,1610,185,1.0,1.0,4,AbNormal,Yes,Others,ELO,Gravel,RL,2.7,2.4,2.5,2.545,189642,13545830
T Nagar,1883,148,2.0,1.0,5,Normal Sale,Yes,Others,NoSewr ,Paved,RL,2.3,4.9,3.0,3.265,267599,14866620
Chrompet,1029,178,1.0,1.0,3,Normal Sale,Yes,Commercial,ELO,Gravel,RL,3.8,4.0,3.5,3.79,214018,13376150
Chrompet,1285,187,2.0,1.0,4,AdjLand,Yes,House,AllPub,Gravel,RM,5.0,4.4,3.9,4.43,82740,11819950
Adyar,1210,175,2.0,2.0,4,AbNormal,Yes,Commercial,NoSewr ,No Access,C,3.5,2.2,2.0,2.49,74976,12495925
Karapakkam,774,153,1.0,1.0,2,AdjLand,No,House,NoSewr ,Gravel,A,3.1,3.6,3.8,3.53,96192,4182250
Chrompet,940,135,1.0,1.0,3,AbNormal,No,Others,ELO,Gravel,RL,3.6,3.6,3.4,3.54,36259,9064800
Velachery,1893,70,3.0,2.0,5,Family,Yes,Others,NoSewr ,Paved,C,2.9,3.7,4.8,3.83,209911,9995770
Chrompet,857,29,1.0,1.0,3,AdjLand,No,House,ELO,Gravel,RH,2.4,3.3,2.2,2.7,22132,7377300
T Nagar,1563,114,1.0,1.0,4,AbNormal,No,Others,NoSeWa,No Access,RH,3.5,3.9,2.9,3.33,112777,11277710
Velachery,1634,73,2.0,1.0,4,AbNormal,No,Others,AllPub,Paved,RH,2.5,4.3,3.9,3.73,106083,9643920
KK Nagar,1483,161,2.0,1.0,4,Normal Sale,No,House,NoSewr ,Paved,RL,3.7,4.7,3.2,3.8,218920,8756780
T Nagar,1902,173,2.0,1.0,5,Partial,Yes,Commercial,AllPub,Gravel,RH,4.9,4.9,4.1,4.54,196105,21789460
T Nagar,1638,4,1.0,1.0,4,AdjLand,Yes,Others,AllPub,Gravel,RH,4.0,4.8,4.5,4.425,236403,13906030
Anna Nagar,1877,4,2.0,1.0,5,Partial,Yes,Commercial,AllPub,Gravel,RL,3.7,2.1,4.6,3.66,348975,21810920
Chrompet,751,162,1.0,1.0,2,AbNormal,Yes,Others,ELO,No Access,RM,4.3,4.4,3.9,4.22,127269,8484620
KK Nagar,1873,130,3.0,2.0,5,AbNormal,No,Commercial,NoSeWa,Gravel,RL,4.7,3.2,4.0,3.97,216920,15494260
Chrompet,1021,73,1.0,1.0,3,AdjLand,Yes,House,AllPub,No Access,RH,3.2,4.1,3.7,3.71,67102,8387750
Karapakkam,1448,93,2.0,2.0,4,Family,Yes,Commercial,NoSeWa,Gravel,RM,3.3,2.4,4.1,3.35,174655,13435000
Karapakkam,720,34,1.0,1.0,2,Normal Sale,No,Others,NoSeWa,Gravel,RL,3.9,4.9,3.5,4.04,107988,6352250
Anna Nagar,1514,151,1.0,1.0,4,Family,No,Others,AllPub,Gravel,RL,3.6,2.3,2.3,2.755,110513,12279230
KK Nagar,2347,90,4.0,2.0,6,Partial,No,Others,NoSeWa,Gravel,RM,4.0,3.3,3.8,3.71,154631,12885880
KK Nagar,1816,170,3.0,2.0,5,Partial,Yes,House,NoSeWa,Paved,RM,4.1,2.2,3.1,3.13,129172,10764320
Velachery,1615,29,2.0,1.0,4,Normal Sale,Yes,Others,NoSeWa,Paved,A,2.0,2.4,3.0,2.48,72831,8092310
Velachery,1941,138,3.0,2.0,5,AbNormal,No,Others,AllPub,Gravel,RH,3.8,2.2,2.1,2.57,110147,11014650
KK Nagar,2227,51,4.0,2.0,6,Normal Sale,Yes,House,AllPub,Paved,RL,3.9,2.7,3.2,3.26,148017,12334760
Chrompet,1119,13,1.0,1.0,3,Partial,Yes,Commercial,ELO,No Access,RM,2.4,3.3,4.5,3.39,199007,13267150
Chrompet,885,16,1.0,1.0,3,AbNormal,No,Others,ELO,Paved,RM,3.1,5.0,3.4,3.95,126221,8414700
Karapakkam,1417,29,2.0,2.0,4,AdjLand,Yes,Commercial,NoSewr ,Paved,RL,2.5,2.0,2.6,2.39,307619,12304750
Adyar,1278,175,2.0,2.0,4,Partial,Yes,House,NoSeWa,No Access,RL,4.9,4.5,2.3,3.52,66139,9448455
Chrompet,1050,14,1.0,1.0,3,AdjLand,Yes,Others,NoSewr ,Gravel,RM,2.2,2.2,3.4,2.56,90278,11284700
T Nagar,1706,29,1.0,1.0,4,Normal Sale,Yes,Others,NoSewr ,Paved,RH,4.2,4.8,3.1,3.855,248803,13094870
Karapakkam,774,111,1.0,1.0,2,Family,No,Commercial,NoSewr ,Gravel,C,4.5,4.9,3.3,4.14,57184,6353750
Anna Nagar,1751,183,1.0,1.0,4,Family,Yes,House,ELO,Paved,RM,2.4,3.6,3.0,2.94,253308,13331980
Karapakkam,729,161,1.0,1.0,2,AdjLand,Yes,Others,NoSeWa,Gravel,I,3.1,4.6,2.6,3.35,153614,6678875
Chrompet,1142,59,1.0,1.0,3,Partial,Yes,House,AllPub,Paved,RM,4.7,2.9,4.4,3.89,30197,10065600
Velachery,1668,192,2.0,1.0,4,AbNormal,Yes,House,NoSeWa,Paved,RH,2.7,2.0,3.8,2.72,100656,9150510
Chrompet,857,77,1.0,1.0,3,Family,No,Commercial,AllPub,Gravel,RM,3.5,4.9,2.1,3.64,85630,12232800
Velachery,1774,190,2.0,1.0,4,Family,No,Commercial,ELO,Gravel,I,3.8,4.5,2.2,3.64,267961,14103230
Chrompet,897,71,1.0,1.0,3,AbNormal,Yes,Others,ELO,Gravel,RH,4.1,4.8,2.1,3.78,107489,8957390
T Nagar,1838,139,2.0,1.0,5,Family,No,Commercial,NoSewr ,Paved,RL,2.2,2.7,3.6,2.955,242898,20241530
Adyar,1000,189,1.0,1.0,3,Family,Yes,Others,ELO,Gravel,A,4.9,3.5,4.5,4.42,64647,8080925
Karapakkam,1209,9,1.0,1.0,3,Partial,No,Others,AllPub,No Access,RL,4.1,3.3,2.4,3.18,111645,6567375
Chrompet,858,135,1.0,1.0,3,Partial,Yes,Commercial,NoSewr ,No Access,RH,3.1,2.7,2.0,2.61,51675,10335050
Adyar,767,191,1.0,1.0,2,Normal Sale,Yes,House,AllPub,No Access,RM,4.9,2.8,4.9,4.48,117593,9045605
T Nagar,1624,98,1.0,1.0,4,Family,Yes,Others,AllPub,Paved,RL,4.7,3.4,4.1,4.105,211749,13234330
Karapakkam,579,7,1.0,1.0,2,Normal Sale,No,Others,AllPub,Gravel,I,3.9,4.2,3.8,3.95,125816,5032625
Adyar,881,182,1.0,1.0,3,Family,Yes,Commercial,AllPub,No Access,RM,3.4,3.1,3.7,3.49,139970,12724510
Chrompet,722,148,1.0,1.0,2,Family,Yes,House,ELO,Paved,RH,3.1,2.7,2.0,2.61,34442,6888450
Velachery,1837,75,3.0,2.0,5,Normal Sale,No,Others,NoSewr ,Paved,RM,2.6,3.5,3.0,3.13,148353,11411760
Chrompet,1296,112,2.0,1.0,4,Family,No,Others,AllPub,Paved,RL,4.9,4.6,3.5,4.36,149484,9965620
Karapakkam,1624,28,2.0,2.0,4,Normal Sale,No,House,NoSewr ,Paved,RH,4.5,2.6,4.6,3.97,84164,7651250
Anna Nagar,1630,45,1.0,1.0,4,AbNormal,Yes,Others,ELO,Gravel,RH,3.7,2.9,4.7,3.9,194081,12938720
Chrompet,1257,183,2.0,1.0,4,AdjLand,No,Others,NoSeWa,Gravel,RH,3.4,2.8,4.0,3.34,39785,9946290
Chrompet,1163,88,1.0,1.0,3,AdjLand,No,Commercial,AllPub,No Access,RH,3.8,3.0,3.2,3.3,145479,12123250
Velachery,1652,120,2.0,1.0,4,Partial,Yes,Commercial,NoSeWa,No Access,C,2.3,4.7,2.2,3.35,168551,12039380
Velachery,1566,134,2.0,1.0,4,AbNormal,No,House,ELO,Gravel,A,2.3,2.8,2.0,2.44,88094,6776450
Velachery,1669,2,2.0,1.0,4,Normal Sale,No,Others,NoSeWa,Paved,A,4.8,3.8,2.3,3.6,122282,7193030
Karapakkam,1009,148,1.0,1.0,3,Normal Sale,Yes,House,NoSeWa,Gravel,A,4.9,3.3,2.7,3.54,68539,5272250
Adyar,750,127,1.0,1.0,2,AbNormal,No,Others,ELO,Paved,I,2.4,4.3,2.6,2.88,12505,6252365
KK Nagar,2149,46,3.0,2.0,5,AdjLand,No,House,NoSewr ,Paved,RM,2.3,4.5,3.1,3.28,272328,11840340
Velachery,1818,77,3.0,2.0,5,AbNormal,Yes,Others,NoSeWa,Gravel,A,4.6,5.0,4.0,4.6,197811,9890560
KK Nagar,1623,123,2.0,1.0,4,Family,No,Commercial,AllPub,Paved,RM,3.2,4.2,2.9,3.38,318690,14485900
Anna Nagar,1602,51,1.0,1.0,4,Normal Sale,Yes,House,ELO,Gravel,RL,2.1,2.1,2.4,2.22,135953,12359320
Chrompet,1143,106,1.0,1.0,3,Family,No,Commercial,AllPub,Paved,RH,4.6,4.4,3.6,4.22,101729,12716150
Adyar,865,75,1.0,1.0,3,Partial,No,House,NoSewr ,Paved,A,3.2,3.6,4.2,3.78,69749,4982055
Anna Nagar,1880,174,2.0,1.0,5,Normal Sale,No,Commercial,NoSeWa,Paved,RL,3.8,2.2,4.6,3.72,390689,20562600
Chrompet,721,73,1.0,1.0,2,AdjLand,No,Others,AllPub,Gravel,RM,2.3,2.0,2.8,2.33,113522,8732470
T Nagar,1510,54,1.0,1.0,4,AbNormal,No,Others,ELO,No Access,RH,5.0,4.5,2.0,3.525,53772,10754410
Adyar,1025,46,1.0,1.0,3,Normal Sale,Yes,Commercial,AllPub,Paved,RH,2.3,4.3,3.2,3.15,171192,13168605
Karapakkam,762,87,1.0,1.0,2,Normal Sale,Yes,House,NoSewr ,Gravel,RM,4.2,2.7,3.7,3.55,161191,7675750
T Nagar,1609,105,1.0,1.0,4,Normal Sale,No,Commercial,ELO,Paved,RL,4.0,3.6,3.2,3.54,212651,17720900
Chrompet,869,110,1.0,1.0,3,Family,Yes,Commercial,ELO,Paved,RM,2.5,2.3,4.7,3.08,49819,12454750
Adyar,1109,104,1.0,1.0,3,AbNormal,Yes,Commercial,ELO,Gravel,C,2.3,4.7,2.5,2.88,50944,12735905
Adyar,928,93,1.0,1.0,3,Partial,No,House,AllPub,Gravel,C,3.9,3.8,3.8,3.83,62976,6997335
Velachery,1747,51,2.0,1.0,4,Partial,Yes,Others,NoSewr ,Gravel,C,2.8,2.2,4.7,3.1,89851,9983410
T Nagar,1526,111,1.0,1.0,4,Family,No,Commercial,ELO,Gravel,RM,4.9,2.3,2.0,2.945,259651,18546530
T Nagar,1922,25,2.0,1.0,5,Normal Sale,Yes,House,AllPub,Paved,RH,3.7,4.6,4.6,4.33,171750,13211540
KK Nagar,1366,3,2.0,1.0,4,AdjLand,No,House,AllPub,Gravel,RM,3.8,4.5,3.2,3.77,186359,9808360
Karapakkam,731,46,1.0,1.0,2,AbNormal,No,House,ELO,Paved,A,3.9,2.8,2.7,3.09,49640,3102500
T Nagar,1886,112,2.0,1.0,5,Family,No,House,NoSewr ,Gravel,RH,4.0,2.8,2.2,2.89,216737,12040960
Velachery,1754,33,2.0,1.0,4,AbNormal,Yes,Others,NoSeWa,Gravel,RM,3.7,2.6,5.0,3.6,107672,11963590
Adyar,1236,22,2.0,2.0,4,AdjLand,No,Commercial,AllPub,Gravel,C,3.9,3.7,3.0,3.41,40437,13478895
Chrompet,1291,113,2.0,1.0,4,Family,Yes,House,NoSewr ,Gravel,RL,3.1,2.1,3.8,2.91,136495,10499650
Anna Nagar,1744,66,1.0,1.0,4,Normal Sale,No,House,NoSewr ,No Access,RM,3.1,3.0,3.2,3.115,186676,11667270
Adyar,933,139,1.0,1.0,3,AbNormal,No,House,NoSeWa,Paved,RM,3.8,2.5,4.1,3.69,99244,9022165
Chrompet,747,78,1.0,1.0,2,Family,No,House,NoSeWa,No Access,RL,2.9,3.1,3.6,3.19,24827,6206700
Velachery,1574,138,2.0,1.0,4,Family,Yes,House,NoSeWa,Paved,I,5.0,4.0,2.6,3.83,66297,8287180
Chrompet,1290,151,2.0,1.0,4,Partial,No,Commercial,ELO,Paved,RH,3.8,4.4,4.2,4.16,228518,13442250
Velachery,1574,111,2.0,1.0,4,Family,No,Commercial,AllPub,No Access,RM,3.3,3.6,4.1,3.68,236040,13113330
Karapakkam,932,86,1.0,1.0,3,AbNormal,Yes,Commercial,NoSewr ,Paved,RM,3.3,2.1,2.5,2.62,222090,10095000
Karapakkam,1047,63,1.0,1.0,3,AdjLand,No,Commercial,NoSeWa,Paved,I,4.3,4.7,2.8,3.82,137560,8597500
Anna Nagar,1957,4,2.0,1.0,5,Family,No,Others,ELO,Paved,RH,3.2,3.3,3.9,3.505,80227,13371220
Karapakkam,1511,77,2.0,2.0,4,Partial,Yes,House,AllPub,Gravel,RL,4.2,3.7,4.4,4.13,185375,9268750
KK Nagar,1761,189,2.0,1.0,4,Partial,Yes,Commercial,AllPub,Paved,RH,4.8,2.1,2.0,2.87,143972,14397160
KK Nagar,2287,137,4.0,2.0,6,AdjLand,No,House,NoSewr ,Paved,RM,4.6,4.9,2.1,3.69,308495,12339780
Velachery,1749,177,2.0,1.0,4,Normal Sale,No,Others,NoSeWa,Paved,RL,2.4,2.1,3.2,2.51,184265,10236960
Karapakkam,1550,5,2.0,2.0,4,AdjLand,Yes,House,NoSeWa,Paved,RH,4.5,3.2,5.0,4.31,94234,8566750
T Nagar,1766,156,1.0,1.0,4,Partial,No,Commercial,NoSewr ,Paved,RH,4.9,3.0,4.2,4.11,242567,18658980
Anna Nagar,1540,85,1.0,1.0,4,Normal Sale,Yes,Others,AllPub,Gravel,RH,2.7,3.2,2.5,2.745,237356,13186470
Velachery,1874,45,3.0,2.0,5,AbNormal,No,House,AllPub,No Access,RL,2.1,4.9,3.0,3.63,120796,9292000
Karapakkam,1454,25,2.0,2.0,4,Partial,No,House,ELO,No Access,RL,2.5,3.6,3.4,3.19,86433,7202750
KK Nagar,2461,198,4.0,2.0,6,Family,No,House,AllPub,Paved,RH,3.7,3.3,4.7,3.98,204101,11338920
Velachery,1528,194,2.0,1.0,4,AdjLand,Yes,Commercial,NoSeWa,Paved,I,5.0,2.8,4.8,3.95,191001,13642920
Adyar,823,134,1.0,1.0,3,Normal Sale,No,Others,ELO,Gravel,C,4.5,4.0,3.3,3.8,107616,7174375
KK Nagar,1389,164,2.0,1.0,4,Partial,No,Others,NoSeWa,Gravel,RM,4.1,3.5,2.9,3.44,154081,9630040
Adyar,765,11,1.0,1.0,2,Normal Sale,No,House,ELO,Gravel,RL,4.5,4.2,4.9,4.64,41018,8203665
Adyar,1244,180,2.0,2.0,4,Partial,Yes,Others,ELO,No Access,C,2.1,4.1,4.5,3.7,34645,8661320
Velachery,1566,170,2.0,1.0,4,Normal Sale,Yes,Others,ELO,Gravel,RM,4.7,2.3,2.8,3.05,219425,11548700
Anna Nagar,1539,69,1.0,1.0,4,Normal Sale,No,House,NoSewr ,Paved,RL,3.5,3.7,2.6,3.19,169814,11320960
Chrompet,1283,127,2.0,1.0,4,Family,Yes,Commercial,AllPub,Paved,RM,3.6,2.6,2.6,2.9,62015,15503650
Chrompet,1132,132,1.0,1.0,3,Normal Sale,Yes,Commercial,NoSeWa,No Access,RM,3.7,2.6,4.9,3.62,108852,13606450
Chrompet,948,17,1.0,1.0,3,AdjLand,No,House,NoSeWa,No Access,RM,3.8,4.7,3.2,3.98,126350,8423350
Karapakkam,589,101,1.0,1.0,2,Family,Yes,Others,NoSeWa,Paved,RL,2.0,2.6,3.5,2.78,115171,6061625
Karapakkam,1025,84,1.0,1.0,3,AbNormal,No,Commercial,AllPub,No Access,I,2.7,3.6,2.9,3.05,69192,7688000
Chrompet,885,105,1.0,1.0,3,Partial,Yes,Commercial,NoSeWa,No Access,RL,3.4,2.2,4.0,3.1,76710,10958500
Karapakkam,758,80,1.0,1.0,2,Family,No,House,NoSeWa,Gravel,RL,3.5,2.9,5.0,3.92,106038,6237500
Adyar,663,57,1.0,1.0,2,AdjLand,Yes,House,NoSewr ,No Access,A,3.7,3.4,3.0,3.29,70548,5426740
Velachery,1530,173,2.0,1.0,4,Normal Sale,Yes,House,ELO,No Access,A,2.1,3.7,2.4,2.91,101288,6752540
Velachery,1948,194,3.0,2.0,5,AdjLand,No,Others,AllPub,Paved,RH,3.7,4.4,3.2,3.87,183014,10765530
Adyar,940,60,1.0,1.0,3,Family,Yes,House,AllPub,No Access,RL,4.3,4.9,3.2,3.87,17742,8871195
T Nagar,1532,41,1.0,1.0,4,AbNormal,No,House,ELO,Paved,RH,4.7,3.2,4.9,4.415,97220,10802190
Velachery,1894,194,3.0,2.0,5,Partial,Yes,Others,AllPub,No Access,C,2.9,2.7,3.7,3.05,62424,8917740
KK Nagar,1373,184,2.0,1.0,4,Partial,No,Others,AllPub,Gravel,RH,4.0,2.7,4.8,3.93,155494,8638540
Velachery,1528,135,2.0,1.0,4,Partial,No,House,AllPub,Gravel,I,4.6,2.3,3.4,3.21,87144,7922150
Velachery,1826,44,3.0,2.0,5,Family,No,Others,NoSewr ,Gravel,I,4.3,3.6,4.5,4.05,106826,9711430
Karapakkam,1132,163,1.0,1.0,3,AbNormal,No,House,ELO,No Access,RH,3.9,4.9,2.0,3.44,95949,5330500
T Nagar,1955,78,2.0,1.0,5,AdjLand,Yes,House,AllPub,No Access,RM,4.2,4.2,3.9,4.065,193212,14862430
Karapakkam,1036,32,1.0,1.0,3,AbNormal,Yes,House,NoSeWa,Gravel,RM,3.4,4.4,3.2,3.62,204740,8901750
T Nagar,1504,136,1.0,1.0,4,AdjLand,Yes,Commercial,AllPub,Gravel,RM,3.4,2.5,3.7,3.31,162902,20362800
Anna Nagar,1826,160,2.0,1.0,5,AdjLand,Yes,Others,NoSewr ,Paved,RM,3.5,3.1,4.9,3.96,78898,15779500
Karapakkam,1609,123,2.0,2.0,4,Family,Yes,Commercial,AllPub,No Access,I,2.1,2.2,4.7,3.17,101473,11274750
Karapakkam,891,49,1.0,1.0,3,Family,Yes,Commercial,NoSewr ,Paved,C,4.5,3.3,4.5,4.14,135996,7999750
Karapakkam,1665,117,2.0,2.0,4,Partial,No,Others,NoSeWa,Gravel,C,2.4,4.7,4.5,3.93,170041,7729125
Anna Nagar,1965,122,2.0,1.0,5,Family,Yes,Others,AllPub,No Access,RL,3.8,3.2,3.3,3.45,172934,14411150
Chrompet,1157,27,1.0,1.0,3,AdjLand,No,Commercial,AllPub,No Access,RH,4.3,3.8,2.5,3.56,101063,12632900
KK Nagar,2064,101,3.0,2.0,5,AbNormal,No,Commercial,NoSeWa,Gravel,RL,2.6,3.3,2.9,2.93,362952,16497820
Chrompet,1181,12,1.0,1.0,3,Family,No,Others,NoSeWa,Gravel,RL,2.6,4.3,2.6,3.28,98476,9847570
KK Nagar,1653,132,2.0,1.0,4,Normal Sale,Yes,Others,NoSeWa,Paved,RL,3.5,3.5,4.4,3.86,237469,10794060
KK Nagar,2282,72,4.0,2.0,6,Normal Sale,No,House,NoSewr ,Gravel,RM,5.0,4.2,2.7,3.84,267765,12171140
Karapakkam,1531,169,2.0,2.0,4,AbNormal,No,Commercial,ELO,Gravel,RH,3.1,3.8,3.2,3.35,286281,11451250
Anna Nagar,1629,164,1.0,1.0,4,AdjLand,No,Commercial,ELO,Gravel,RM,3.8,3.0,2.4,3.04,179452,19939120
Chrompet,1081,27,1.0,1.0,3,AdjLand,Yes,Others,NoSeWa,Gravel,RH,3.3,3.0,3.0,3.09,136898,9778420
Karapakkam,1041,190,1.0,1.0,3,AdjLand,Yes,Commercial,NoSeWa,No Access,I,4.5,2.3,3.2,3.32,117588,9045250
Chrompet,1175,29,1.0,1.0,3,Family,Yes,House,AllPub,Paved,RL,3.5,4.9,3.9,4.18,58552,9758600
Chrompet,810,171,1.0,1.0,3,AdjLand,No,Commercial,NoSeWa,Paved,RH,2.4,2.9,3.6,2.96,128439,9879950
KK Nagar,1722,197,2.0,1.0,4,Partial,No,House,AllPub,Paved,RM,3.9,4.4,2.4,3.45,235104,9795980
Karapakkam,1475,86,2.0,2.0,4,AdjLand,No,House,NoSewr ,Paved,RL,3.6,4.0,2.7,3.36,207406,8296250
Anna Nagar,1522,81,1.0,1.0,4,Family,No,House,AllPub,Paved,RL,2.4,3.8,2.4,2.75,214605,11295000
Anna Nagar,1556,181,1.0,1.0,4,Partial,No,House,NoSewr ,No Access,RM,4.8,2.7,2.0,3.155,107978,10797790
Chrompet,1286,156,2.0,1.0,4,AdjLand,Yes,Commercial,ELO,No Access,RL,2.0,4.9,2.2,3.22,149628,14962800
Velachery,1803,10,3.0,2.0,5,AbNormal,Yes,House,NoSeWa,Paved,RM,4.4,4.5,4.1,4.36,161649,11546330
Chrompet,866,147,1.0,1.0,3,AbNormal,No,Commercial,NoSewr ,No Access,RL,2.1,4.1,4.7,3.68,152600,10173350
Adyar,1178,121,1.0,1.0,3,AdjLand,Yes,House,ELO,Paved,C,3.0,4.8,3.2,3.46,51833,8638785
Anna Nagar,1626,155,1.0,1.0,4,Normal Sale,No,Others,NoSewr ,Paved,RL,4.4,3.1,4.0,3.915,141531,12866410
Anna Nagar,1589,48,1.0,1.0,4,Normal Sale,Yes,House,NoSeWa,No Access,RL,4.5,3.2,4.8,4.295,156330,12025410
Chrompet,1165,68,1.0,1.0,3,Partial,No,House,ELO,No Access,RL,4.5,3.7,4.7,4.24,98153,7550250
Adyar,618,57,1.0,1.0,2,Normal Sale,No,Commercial,ELO,Paved,RH,4.7,2.1,4.1,3.88,25266,8421940
